Name,City,Address,Phone,Rating,Price,Photo Urls
Americas Best Value Inn - Adelanto/Victorville, Adelanto,"11625 Lawson Ave, Adelanto, CA 92301, United States",(760) 530-2200,3.8,100,https://lh3.googleusercontent.com/p/AF1QipPPJmzaquzXhdbM-Av-WIj2QGuV3srY6QyckviM=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMQ3JL_moCJ2AbscnzdCLVS2T_0coLG-qvtpH-l=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPfqAwsRZ7wit7FGNpvrj0BS1ESd0Uw9on24J3P=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMoKKhG414NO8WlEehlPX4SA5T6p6DsXSPMZytL=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOeRoN8C38lyEG9MR23u2XPFPvdma9niEHyhD9P=s1600-w400
Holiday Inn Victorville, Victorville,"15494 Palmdale Rd, Victorville, CA 92392, United States",(760) 245-6565,4.2,187,https://lh3.googleusercontent.com/p/AF1QipODWB00o0yWREfSQ9TCx8b3SWsaKupz0aUhQ3p7=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMnelPWRFdxwVQKnmt4fyCBVYJYWL2-uZEhABrG=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOy98Cg1QJe9dQUxIszAm4pWIy1X3GW44oNbfMW=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOE-7TLr_C-5ChHrQlJPoETsPEbAuo9qJkrcpwq=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMjfC5x-p3rFryzuyiF9zTYrFTiROrZj865ph8Q=s1600-w400
Comfort Suites Victorville I-15, Victorville,"12281 Mariposa Rd, Victorville, CA 92395, United States",(760) 245-6777,4.3,146,https://lh3.googleusercontent.com/p/AF1QipPPQNBFM_NBT8s_V6qPE9ht9c1rcW_TF0XaqZa-=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOczBA5JlHBDRAPP3cpywAWh_erYe5K1ec44Q5g=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPDVZ4diQ7IGlTmy4qfcrj4YGcz1U0hsIlIYlD5=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNoNAU0WP1jXNHjsNj0D6Kg-fpxPU5nrsZKwFI7=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMGUPFysVzEf1fffRjmk2UnAvHZADpgxrSaG9RI=s1600-w400
La Quinta Inn & Suites Hesperia Victorville, Hesperia,"12000 Mariposa Rd, Hesperia, CA 92345, United States",(760) 949-9900,4.1,120,https://lh3.googleusercontent.com/p/AF1QipMWdY6UNcIgCTs_GF3A1pv3Zfpo0L9yQEMTA2oH=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPh2Hw9yLrnFQPD_iT59E_PBT9T11yt3zc-RXjI=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOXBKPpImqXBI9_8g4DMtZX39v3gkpCevtiF6lt=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNd4EipilCZo45muiz94aiiUJvyIHLeFh-QC7l5=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNBDq0enrPVE4nC4k4w4B4JGHWujVIEb4zciAac=s1600-w400
Hawthorn Suites by Wyndham Victorville, Victorville,"11750 Dunia Rd, Victorville, CA 92392, United States",(760) 949-4700,4.1,170,https://lh3.googleusercontent.com/p/AF1QipPlhV_l8qYUFQfQrBIVfhJAvpVXojFC0JP5lqds=s1600-w338 https://lh3.googleusercontent.com/p/AF1QipNc5hQYmgh2gz2qUlWfemHZsBGZNM52pYY6Pq9C=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipP_u9ellx92Npo8nPwlRiZ-0u7bTDJtnISRF-5X=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPCVLIElc3jqOdIOBu7XkWVv8WJ3UxyQzSM2KdE=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOqAfMGiYJSlJKZUQritwUfCxEuohFx85vErItS=s1600-w338
Sheraton Agoura Hills Hotel, Agoura Hills,"30100 Agoura Rd, Agoura Hills, CA 91301, United States",(818) 707-1220,4.2,181,https://lh3.googleusercontent.com/p/AF1QipNxTfJ6VaTwGvG9WdZ5I6IpvDMPrh9ECZRl4Ego=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPOtLpzLQ1KHjus6Ek2ToytmQO2wPlGirXo00LA=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipP4UUcHJSWSB6yYOlI8vmnGDAd1JP0Cz9LyQydB=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMJnN2lx2BEXAkFEl59Mod4KEUOBLjhAjZ4vQUW=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMu5rV59-C0TamKo1JjovE9lGQq-8eeVuFcE1FO=s1600-w400
Homewood Suites by Hilton Agoura Hills, Agoura Hills,"28901 Canwood St, Agoura Hills, CA 91301, United States",(818) 865-1000,4.4,117,https://lh3.googleusercontent.com/p/AF1QipMg7xDgk_yUEC4lzbSDIUPD6z8Gv5dIr4eZ5EvC=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMhAqdGAj6zaP5_udEBcYmnRZR8kmynm1Fp6dmF=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNJJlcMB3siPAzpxfwy8zeU4K-Y1b2-2CELVJUb=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOOtWH9bov8BXeK557YIF2HwueMSuqB1xRW_4Em=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOXWmrYS-TARiknBAoeuo-AN6uMHFIpiPEx3raB=s1600-w400
Hampton Inn & Suites Agoura Hills, Agoura Hills,"30255 Agoura Rd, Agoura Hills, CA 91301, United States",(818) 597-0333,4.3,185,https://lh3.googleusercontent.com/p/AF1QipMZxM-mBAqk-cNraXWtAQe9fDknN9Z_m3NheHUa=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPe84wKRmocOdT5NOAy2zM4x3OEZSzkxM7s5aHa=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNpvTjrM6ALrE-h8tYLwmHWGSLkVUYhpN3QvUtN=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPll94K5ZHYoieoD9TYpHwkq1jlh2kdmd3JNExr=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipNmoHnOibqyBcCGASnJuggp9r1PP8fYS5wDUdY1=s1600-w400
Residence Inn by Marriott Los Angeles Westlake Village, Westlake Village,"30950 Russell Ranch Rd, Westlake Village, CA 91362, United States",(818) 707-4411,4.3,107,https://lh3.googleusercontent.com/p/AF1QipOy3X0zimIe1XzyfV4UzjuC3tvbxfmVLCDu49ex=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMs603y027No-mvEXhzo3bPA8mo3SO_0iT0re7C=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPd294FGsl4kVaOK7yNM0LRiFSgKWPW3xrlOs5G=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipP5nVyf6uFnWnFDkUSz9b7zXfn7lqythEuIKycM=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipMJRwJoOWaJ45ctfFdAoESfY36yyWviYYbGxxWl=s1600-w400
"Four Seasons Hotel Westlake Village, California", Westlake Village,"2 Dole Dr, Westlake Village, CA 91362, United States",(818) 575-3000,4.7,138,https://lh3.googleusercontent.com/p/AF1QipPAnzkRey9tRWTW7cxJvIcjf0fnGoCb7hgqhjxw=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPdXJSALRxLclGYe0BELeKGUGJRc5i8npvv3XfT=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPs-jbvf35VauhCe62fC1MsP4XVMn2JLEALGrMT=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipOuu_8c4ZS7EiJWXv5n_tWyW_K7g0n9cp_JMo_w=s1600-w400 https://lh3.googleusercontent.com/p/AF1QipPS1CC600Eppjb3Ri9DrFFz2JTTDDNQtwm6MmFg=s1600-w400
